cycle,range_bin,doppler_bin,output_hex
1039185000,0,0,fecffffd
1039195000,0,1,00490106
1039205000,0,2,0099fee3
1039215000,0,3,00ab018c
1039225000,0,4,fda2fe25
1039235000,0,5,02cf021e
1039245000,0,6,fe15ff71
1039255000,0,7,0096ff0e
1039265000,0,8,ffcd0024
1039275000,0,9,00400076
1039285000,0,10,ff66ff1c
1039295000,0,11,009a03b9
1039305000,0,12,00a7fc43
1039315000,0,13,ff0e0086
1039325000,0,14,00d0ffc2
1039335000,0,15,00460064
1039345000,0,16,ff8dffb5
1039355000,0,17,007d00ce
1039365000,0,18,fdc10089
1039375000,0,19,01f7fed6
1039385000,0,20,ff240031
1039395000,0,21,00f5ffa2
1039405000,0,22,ff27ffc3
1039415000,0,23,fe22007a
1039425000,0,24,05b700a2
1039435000,0,25,fbf2ffd6
1039445000,0,26,00bcff90
1039455000,0,27,ffb40041
1039465000,0,28,00abfecf
1039475000,0,29,ff260112
1039485000,0,30,ffa0fff2
1039495000,0,31,0102ff60
1044575000,1,0,fdfffe5e
1044585000,1,1,0244ffc0
1044595000,1,2,ffed0218
1044605000,1,3,ff51ff13
1044615000,1,4,00ceff1c
1044625000,1,5,ff73006a
1044635000,1,6,0003ffdd
1044645000,1,7,00000166
1044655000,1,8,fe7cfe62
1044665000,1,9,02280143
1044675000,1,10,ff13ff4c
1044685000,1,11,ff1500d4
1044695000,1,12,02ceffa1
1044705000,1,13,fd69fe58
1044715000,1,14,00ff00ce
1044725000,1,15,016a0173
1044735000,1,16,fdbdfebe
1044745000,1,17,0160ffc0
1044755000,1,18,fd57014c
1044765000,1,19,02630009
1044775000,1,20,ff64ff3e
1044785000,1,21,ff95ffee
1044795000,1,22,018b00e1
1044805000,1,23,ff10fe12
1044815000,1,24,019c02aa
1044825000,1,25,fdd0fdb9
1044835000,1,26,015501e4
1044845000,1,27,fefbfdfc
1044855000,1,28,00c401ad
1044865000,1,29,ff7bfebc
1044875000,1,30,017f0020
1044885000,1,31,feea0131
1049965000,2,0,0013ffb4
1049975000,2,1,0137ff61
1049985000,2,2,ff8201d7
1049995000,2,3,fee2fee0
1050005000,2,4,001dfefc
1050015000,2,5,02750214
1050025000,2,6,fe2dfe3b
1050035000,2,7,00b000b9
1050045000,2,8,fe3fff3e
1050055000,2,9,024601af
1050065000,2,10,ff1bff4b
1050075000,2,11,ff77ffeb
1050085000,2,12,01b600b5
1050095000,2,13,fdfefdfd
1050105000,2,14,020400f0
1050115000,2,15,fea00062
1050125000,2,16,ffcffefe
1050135000,2,17,013900e9
1050145000,2,18,fd34ffd3
1050155000,2,19,0276fff2
1050165000,2,20,006fffa2
1050175000,2,21,fe550052
1050185000,2,22,010d01b3
1050195000,2,23,ff22fd19
1050205000,2,24,01530320
1050215000,2,25,fea6fd57
1050225000,2,26,00f70103
1050235000,2,27,fe75fe9b
1050245000,2,28,02120235
1050255000,2,29,ff04fecd
1050265000,2,30,0122ffd2
1050275000,2,31,fe3200b4
1055355000,3,0,021e0010
1055365000,3,1,00280005
1055375000,3,2,ff920048
1055385000,3,3,ffd70070
1055395000,3,4,fe5a0055
1055405000,3,5,04b1ff66
1055415000,3,6,fbbe0047
1055425000,3,7,027a0012
1055435000,3,8,fe19004d
1055445000,3,9,012cff0d
1055455000,3,10,ff85012a
1055465000,3,11,0000ffd2
1055475000,3,12,00abfe13
1055485000,3,13,ff1f00ac
1055495000,3,14,01ec00c6
1055505000,3,15,fd9e002c
1055515000,3,16,01e4ffe2
1055525000,3,17,fe5800b3
1055535000,3,18,0040ff12
1055545000,3,19,ffefffca
1055555000,3,20,01740047
1055565000,3,21,fe6bff96
1055575000,3,22,00e600d9
1055585000,3,23,fefeff2a
1055595000,3,24,024d00d5
1055605000,3,25,fd80ff83
1055615000,3,26,00e1ffcc
1055625000,3,27,00a200e0
1055635000,3,28,fe9fff55
1055645000,3,29,01e90040
1055655000,3,30,00580052
1055665000,3,31,fc92fedc
1060745000,4,0,00d201f8
1060755000,4,1,ff46fead
1060765000,4,2,00b7ff8a
1060775000,4,3,0058010b
1060785000,4,4,fd3a00ac
1060795000,4,5,0462fe92
1060805000,4,6,fc84006f
1060815000,4,7,015c00d0
1060825000,4,8,ff91ff77
1060835000,4,9,fffd0021
1060845000,4,10,ff6effcc
1060855000,4,11,00b00162
1060865000,4,12,011ffd13
1060875000,4,13,fe630179
1060885000,4,14,00d40060
1060895000,4,15,0084ff96
1060905000,4,16,ffc00066
1060915000,4,17,fe880013
1060925000,4,18,ffd7000e
1060935000,4,19,012eff3f
1060945000,4,20,000a008c
1060955000,4,21,ff84ffb4
1060965000,4,22,00c001af
1060975000,4,23,fe5afde6
1060985000,4,24,048901b7
1060995000,4,25,fc21fea3
1061005000,4,26,0070ffb4
1061015000,4,27,002e00c4
1061025000,4,28,0071fee9
1061035000,4,29,ffab0245
1061045000,4,30,009cfefa
1061055000,4,31,fee2fe6c
1066135000,5,0,005f00dd
1066145000,5,1,ff99ffa7
1066155000,5,2,ffe3ff72
1066165000,5,3,002300ec
1066175000,5,4,ffcc002f
1066185000,5,5,008c001d
1066195000,5,6,ff63ffc5
1066205000,5,7,ff6cffa1
1066215000,5,8,01b3ffb6
1066225000,5,9,fe9f001b
1066235000,5,10,00370119
1066245000,5,11,012f0000
1066255000,5,12,fe7cfd5a
1066265000,5,13,0102031b
1066275000,5,14,ff8ffd90
1066285000,5,15,003f01da
1066295000,5,16,0023fe03
1066305000,5,17,002f0255
1066315000,5,18,fec9fec4
1066325000,5,19,00eb0020
1066335000,5,20,fe3200bf
1066345000,5,21,01b0fd65
1066355000,5,22,ffef0207
1066365000,5,23,fefa012d
1066375000,5,24,0283ff66
1066385000,5,25,fe59fe45
1066395000,5,26,00dd017d
1066405000,5,27,feefffcc
1066415000,5,28,001effdc
1066425000,5,29,009afee7
1066435000,5,30,fe5f0238
1066445000,5,31,0147fe20
1071525000,6,0,fe63009c
1071535000,6,1,021efed6
1071545000,6,2,ff0d0187
1071555000,6,3,007bfe02
1071565000,6,4,fedd00b4
1071575000,6,5,027a012e
1071585000,6,6,fe6bffa0
1071595000,6,7,0020fed4
1071605000,6,8,ff3d01fe
1071615000,6,9,017cfea4
1071625000,6,10,ff5c0055
1071635000,6,11,ff2cfeea
1071645000,6,12,011f003e
1071655000,6,13,ff080080
1071665000,6,14,012fffea
1071675000,6,15,fff500da
1071685000,6,16,fea1fed4
1071695000,6,17,029000c8
1071705000,6,18,fdef0009
1071715000,6,19,ff53ff58
1071725000,6,20,00f10054
1071735000,6,21,fec4ffa6
1071745000,6,22,01e3ff3c
1071755000,6,23,ff18018a
1071765000,6,24,006f0006
1071775000,6,25,0032005e
1071785000,6,26,001cfde3
1071795000,6,27,ff5a0368
1071805000,6,28,0103fd9e
1071815000,6,29,fe0effa4
1071825000,6,30,023fffba
1071835000,6,31,feff00e4
1076915000,7,0,009f015d
1076925000,7,1,ff86010d
1076935000,7,2,ff79ff42
1076945000,7,3,004afffc
1076955000,7,4,fec40005
1076965000,7,5,0360ff6d
1076975000,7,6,fcd3009f
1076985000,7,7,0102ff56
1076995000,7,8,ffe70078
1077005000,7,9,ff3effb2
1077015000,7,10,01d5ffcf
1077025000,7,11,000a0316
1077035000,7,12,ff4afb85
1077045000,7,13,001501db
1077055000,7,14,ff4eff95
1077065000,7,15,003e00bf
1077075000,7,16,0023fd83
1077085000,7,17,ff1e01b1
1077095000,7,18,009f0186
1077105000,7,19,00b4ff18
1077115000,7,20,fe46ff37
1077125000,7,21,020600f1
1077135000,7,22,fde5ff77
1077145000,7,23,01a8fffa
1077155000,7,24,00630048
1077165000,7,25,fea20064
1077175000,7,26,016f0005
1077185000,7,27,fd64ff1a
1077195000,7,28,02e8010f
1077205000,7,29,fe01fe0b
1077215000,7,30,00c60359
1077225000,7,31,003cfc85
1082305000,8,0,00f7ffe4
1082315000,8,1,0097ffaf
1082325000,8,2,ff8001a2
1082335000,8,3,00abff22
1082345000,8,4,fd8a0096
1082355000,8,5,04e00049
1082365000,8,6,fc07004f
1082375000,8,7,00c2fdbd
1082385000,8,8,00cb0109
1082395000,8,9,feea0125
1082405000,8,10,00cbfd2b
1082415000,8,11,fef60569
1082425000,8,12,01e7fb98
1082435000,8,13,fe870053
1082445000,8,14,00830069
1082455000,8,15,ff550015
1082465000,8,16,0189ffdc
1082475000,8,17,ff150173
1082485000,8,18,ff5afe96
1082495000,8,19,00fd017a
1082505000,8,20,ff62fdf2
1082515000,8,21,ffec00f5
1082525000,8,22,001d0093
1082535000,8,23,ff66fd43
1082545000,8,24,0175042f
1082555000,8,25,ffe2fdb5
1082565000,8,26,ffb700dd
